"","Age","pr_Death","nLives","LE","Sex"
"152",31,0.00072,98549,50.95,"F"
"153",32,0.000766,98478,49.99,"F"
"154",33,0.000806,98403,49.02,"F"
"155",34,0.000846,98323,48.06,"F"
"156",35,0.000891,98240,47.1,"F"
"157",36,0.000946,98153,46.15,"F"
"158",37,0.001013,98060,45.19,"F"
"159",38,0.001094,97960,44.23,"F"
"160",39,0.00119,97853,43.28,"F"
"161",40,0.001296,97737,42.33,"F"
"162",41,0.001413,97610,41.39,"F"
"163",42,0.001549,97472,40.45,"F"
"164",43,0.001706,97321,39.51,"F"
"165",44,0.001881,97155,38.57,"F"
"166",45,0.002069,96972,37.65,"F"
"167",46,0.00227,96772,36.72,"F"
"168",47,0.002486,96552,35.81,"F"
"169",48,0.002716,96312,34.89,"F"
"170",49,0.00296,96050,33.99,"F"
"171",50,0.003226,95766,33.09,"F"
"172",51,0.003505,95457,32.19,"F"
"173",52,0.003779,95123,31.3,"F"
"174",53,0.00404,94763,30.42,"F"
"175",54,0.004301,94380,29.54,"F"
"176",55,0.004592,93974,28.67,"F"
"177",56,0.00492,93543,27.8,"F"
"178",57,0.005266,93083,26.93,"F"
"179",58,0.00563,92592,26.07,"F"
"180",59,0.006028,92071,25.22,"F"
"181",60,0.006479,91516,24.37,"F"
"182",61,0.007001,90923,23.52,"F"
"183",62,0.007602,90287,22.68,"F"
"184",63,0.008294,89600,21.85,"F"
"185",64,0.009082,88857,21.03,"F"
"186",65,0.00999,88050,20.22,"F"
"187",66,0.011005,87171,19.42,"F"
"188",67,0.012097,86211,18.63,"F"
"189",68,0.013261,85168,17.85,"F"
"190",69,0.014529,84039,17.09,"F"
"191",70,0.015991,82818,16.33,"F"
"192",71,0.017662,81494,15.59,"F"
"193",72,0.019486,80054,14.86,"F"
"194",73,0.021467,78494,14.14,"F"
"195",74,0.023658,76809,13.44,"F"
"196",75,0.026223,74992,12.76,"F"
"197",76,0.029159,73026,12.09,"F"
"198",77,0.032331,70896,11.44,"F"
"199",78,0.035725,68604,10.8,"F"
"200",79,0.039469,66153,10.18,"F"
"201",80,0.043828,63542,9.58,"F"
"202",81,0.048896,60757,9,"F"
"203",82,0.054577,57786,8.43,"F"
"204",83,0.060909,54633,7.89,"F"
"205",84,0.068019,51305,7.37,"F"
"206",85,0.076054,47815,6.87,"F"
"207",86,0.085148,44179,6.4,"F"
"208",87,0.095395,40417,5.94,"F"
"209",88,0.106857,36561,5.52,"F"
"210",89,0.119557,32655,5.12,"F"
"211",90,0.133502,28751,4.75,"F"
"212",91,0.148685,24912,4.4,"F"
"213",92,0.165088,21208,4.08,"F"
"214",93,0.182685,17707,3.79,"F"
"215",94,0.201442,14472,3.53,"F"
"216",95,0.220406,11557,3.29,"F"
"217",96,0.239273,9010,3.08,"F"
"218",97,0.257714,6854,2.89,"F"
"219",98,0.275376,5088,2.72,"F"
"220",99,0.291899,3687,2.56,"F"
"221",100,0.309413,2610,2.41,"F"
"222",101,0.327978,1803,2.27,"F"
"223",102,0.347656,1211,2.13,"F"
"224",103,0.368516,790,2,"F"
"225",104,0.390627,499,1.87,"F"
"226",105,0.414064,304,1.75,"F"
"227",106,0.438908,178,1.64,"F"
"228",107,0.465243,100,1.53,"F"
"229",108,0.493157,53,1.43,"F"
"230",109,0.522747,27,1.33,"F"
"231",110,0.554111,13,1.23,"F"
"232",111,0.587358,6,1.14,"F"
"233",112,0.622599,2,1.06,"F"
"234",113,0.659955,1,0.98,"F"
"235",114,0.699553,0,0.9,"F"
"236",115,0.741526,0,0.83,"F"
"237",116,0.781186,0,0.76,"F"
"238",117,0.820245,0,0.71,"F"
"239",118,0.861257,0,0.65,"F"
"240",119,0.90432,0,0.6,"F"
